experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m
gbm_t100d4_s0_c42c806b356a,S04,2026-05-09T11:02:31.175075,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,656,13.3,2.49,registry\predictor\gbm_t100d4_s0_c42c806b356a.joblib,c42c806b356a,0.53224,0.916985,0.535547,1.83397,0.7897,0.0103,,0.0,0.0,0.0,,1.0,0.788351,1.44768,0.742281,2.89536,0.7778,0.0222,,0.0,0.0,0.0,,1.0,1.177279,2.192036,1.047955,4.384072,0.7661,0.0339,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_632037067cab,S04,2026-05-09T11:02:49.058245,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,656,13.2,3.49,registry\predictor\gbm_t100d4_s1_632037067cab.joblib,632037067cab,0.53224,0.916985,0.535547,1.83397,0.7897,0.0103,,0.0,0.0,0.0,,1.0,0.788351,1.44768,0.742281,2.89536,0.7778,0.0222,,0.0,0.0,0.0,,1.0,1.177279,2.192036,1.047955,4.384072,0.7661,0.0339,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_3b58ec049feb,S04,2026-05-09T11:03:07.029226,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,656,13.3,2.75,registry\predictor\gbm_t100d4_s2_3b58ec049feb.joblib,3b58ec049feb,0.53224,0.916985,0.535547,1.83397,0.7897,0.0103,,0.0,0.0,0.0,,1.0,0.788351,1.44768,0.742281,2.89536,0.7778,0.0222,,0.0,0.0,0.0,,1.0,1.177279,2.192036,1.047955,4.384072,0.7661,0.0339,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_7aa01f2f3e80,S04,2026-05-09T11:03:26.362864,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,672,14.6,3.01,registry\predictor\gbm_t100d4_s0_7aa01f2f3e80.joblib,7aa01f2f3e80,0.532349,0.916985,0.534042,1.83397,0.7895,0.0105,,0.0,0.0,0.0,,1.0,0.787957,1.44768,0.7496,2.89536,0.7752,0.0248,,0.0,0.0,0.0,,1.0,1.174359,2.192036,1.047079,4.384072,0.7622,0.0378,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_bae8cf86dc16,S04,2026-05-09T11:03:45.825618,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,672,14.7,3.57,registry\predictor\gbm_t100d4_s1_bae8cf86dc16.joblib,bae8cf86dc16,0.532349,0.916985,0.534042,1.83397,0.7895,0.0105,,0.0,0.0,0.0,,1.0,0.787957,1.44768,0.7496,2.89536,0.7752,0.0248,,0.0,0.0,0.0,,1.0,1.174359,2.192036,1.047079,4.384072,0.7622,0.0378,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_c5160da54baa,S04,2026-05-09T11:04:05.190766,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,672,14.6,2.39,registry\predictor\gbm_t100d4_s2_c5160da54baa.joblib,c5160da54baa,0.532349,0.916985,0.534042,1.83397,0.7895,0.0105,,0.0,0.0,0.0,,1.0,0.787957,1.44768,0.7496,2.89536,0.7752,0.0248,,0.0,0.0,0.0,,1.0,1.174359,2.192036,1.047079,4.384072,0.7622,0.0378,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_800707e8dade,S04,2026-05-09T11:04:13.191584,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,496,3.7,2.89,registry\predictor\gbm_t100d4_s0_800707e8dade.joblib,800707e8dade,0.540701,0.917114,0.540886,1.834228,0.7836,0.0164,,0.0,0.0,0.0,,1.0,0.806201,1.447736,0.759345,2.895473,0.7695,0.0305,,0.0,0.0,0.0,,0.9739,1.224182,2.192345,1.068616,4.38469,0.7461,0.0539,,0.0,0.0,0.0,,0.8739,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_e3ae684d7b8b,S04,2026-05-09T11:04:21.233742,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,496,3.8,2.21,registry\predictor\gbm_t100d4_s1_e3ae684d7b8b.joblib,e3ae684d7b8b,0.540701,0.917114,0.540886,1.834228,0.7836,0.0164,,0.0,0.0,0.0,,1.0,0.806201,1.447736,0.759345,2.895473,0.7695,0.0305,,0.0,0.0,0.0,,0.9739,1.224182,2.192345,1.068616,4.38469,0.7461,0.0539,,0.0,0.0,0.0,,0.8739,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_8a0904fe273c,S04,2026-05-09T11:04:29.343005,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,496,3.8,3.02,registry\predictor\gbm_t100d4_s2_8a0904fe273c.joblib,8a0904fe273c,0.540701,0.917114,0.540886,1.834228,0.7836,0.0164,,0.0,0.0,0.0,,1.0,0.806201,1.447736,0.759345,2.895473,0.7695,0.0305,,0.0,0.0,0.0,,0.9739,1.224182,2.192345,1.068616,4.38469,0.7461,0.0539,,0.0,0.0,0.0,,0.8739,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_3f906feb80a7,S04,2026-05-09T11:04:49.727756,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,662,15.6,2.7,registry\predictor\gbm_t100d4_s0_3f906feb80a7.joblib,3f906feb80a7,0.533382,0.916985,0.534217,1.83397,0.789,0.011,,0.0,0.0,0.0,,1.0,0.788849,1.44768,0.745903,2.89536,0.7749,0.0251,,0.0,0.0,0.0,,1.0,1.170425,2.190984,1.056377,4.381968,0.7602,0.0398,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_981a3d4d9665,S04,2026-05-09T11:05:10.141241,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,662,15.6,2.95,registry\predictor\gbm_t100d4_s1_981a3d4d9665.joblib,981a3d4d9665,0.533382,0.916985,0.534217,1.83397,0.789,0.011,,0.0,0.0,0.0,,1.0,0.788849,1.44768,0.745903,2.89536,0.7749,0.0251,,0.0,0.0,0.0,,1.0,1.170425,2.190984,1.056377,4.381968,0.7602,0.0398,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_1bca78e7efd3,S04,2026-05-09T11:05:30.718155,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,662,15.7,3.25,registry\predictor\gbm_t100d4_s2_1bca78e7efd3.joblib,1bca78e7efd3,0.533382,0.916985,0.534217,1.83397,0.789,0.011,,0.0,0.0,0.0,,1.0,0.788849,1.44768,0.745903,2.89536,0.7749,0.0251,,0.0,0.0,0.0,,1.0,1.170425,2.190984,1.056377,4.381968,0.7602,0.0398,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_f7b8c6ba6518,S04,2026-05-09T11:05:39.036096,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,449,3.9,2.2,registry\predictor\gbm_t100d4_s0_f7b8c6ba6518.joblib,f7b8c6ba6518,0.541264,0.917028,0.540668,1.834057,0.7834,0.0166,,0.0,0.0,0.0,,1.0,0.807434,1.447856,0.76597,2.895712,0.7746,0.0254,,0.0,0.0,0.0,,0.9771,1.226061,2.194664,1.075854,4.389328,0.7427,0.0573,,0.0,0.0,0.0,,0.8807,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_d659065a15ce,S04,2026-05-09T11:05:47.409446,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,449,4.0,2.43,registry\predictor\gbm_t100d4_s1_d659065a15ce.joblib,d659065a15ce,0.541264,0.917028,0.540668,1.834057,0.7834,0.0166,,0.0,0.0,0.0,,1.0,0.807434,1.447856,0.76597,2.895712,0.7746,0.0254,,0.0,0.0,0.0,,0.9771,1.226061,2.194664,1.075854,4.389328,0.7427,0.0573,,0.0,0.0,0.0,,0.8807,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_644ad76209ca,S04,2026-05-09T11:05:55.770982,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,449,4.1,2.33,registry\predictor\gbm_t100d4_s2_644ad76209ca.joblib,644ad76209ca,0.541264,0.917028,0.540668,1.834057,0.7834,0.0166,,0.0,0.0,0.0,,1.0,0.807434,1.447856,0.76597,2.895712,0.7746,0.0254,,0.0,0.0,0.0,,0.9771,1.226061,2.194664,1.075854,4.389328,0.7427,0.0573,,0.0,0.0,0.0,,0.8807,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_6494abc311b3,S04,2026-05-09T11:06:17.749203,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,671,17.0,2.71,registry\predictor\gbm_t100d4_s0_6494abc311b3.joblib,6494abc311b3,0.532377,0.916985,0.535404,1.83397,0.7897,0.0103,,0.0,0.0,0.0,,1.0,0.787492,1.447658,0.745284,2.895317,0.7755,0.0245,,0.0,0.0,0.0,,1.0,1.171925,2.190933,1.056613,4.381867,0.7605,0.0395,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_1340d537d047,S04,2026-05-09T11:06:39.513617,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,671,16.8,3.46,registry\predictor\gbm_t100d4_s1_1340d537d047.joblib,1340d537d047,0.532377,0.916985,0.535404,1.83397,0.7897,0.0103,,0.0,0.0,0.0,,1.0,0.787492,1.447658,0.745284,2.895317,0.7755,0.0245,,0.0,0.0,0.0,,1.0,1.171925,2.190933,1.056613,4.381867,0.7605,0.0395,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_b00d6da2c46f,S04,2026-05-09T11:07:01.405307,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V5,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,671,16.9,3.43,registry\predictor\gbm_t100d4_s2_b00d6da2c46f.joblib,b00d6da2c46f,0.532377,0.916985,0.535404,1.83397,0.7897,0.0103,,0.0,0.0,0.0,,1.0,0.787492,1.447658,0.745284,2.895317,0.7755,0.0245,,0.0,0.0,0.0,,1.0,1.171925,2.190933,1.056613,4.381867,0.7605,0.0395,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
gbm_t100d4_s0_f7cb36536be5,S04,2026-05-09T11:07:10.184476,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,529,4.3,2.55,registry\predictor\gbm_t100d4_s0_f7cb36536be5.joblib,f7cb36536be5,0.539943,0.917028,0.538282,1.834057,0.7848,0.0152,,0.0,0.0,0.0,,1.0,0.808456,1.447708,0.759293,2.895416,0.7663,0.0337,,0.0,0.0,0.0,,0.9179,1.223381,2.194832,1.074625,4.389664,0.7456,0.0544,,0.0,0.0,0.0,,0.9049,,,,,,,,,,,,,,,,,,
gbm_t100d4_s1_60fc04d6a79c,S04,2026-05-09T11:07:18.859104,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,529,4.3,3.12,registry\predictor\gbm_t100d4_s1_60fc04d6a79c.joblib,60fc04d6a79c,0.539943,0.917028,0.538282,1.834057,0.7848,0.0152,,0.0,0.0,0.0,,1.0,0.808456,1.447708,0.759293,2.895416,0.7663,0.0337,,0.0,0.0,0.0,,0.9179,1.223381,2.194832,1.074625,4.389664,0.7456,0.0544,,0.0,0.0,0.0,,0.9049,,,,,,,,,,,,,,,,,,
gbm_t100d4_s2_bad29145ec63,S04,2026-05-09T11:07:27.544231,gbm,t100d4,"{""n_trees"": 100, ""max_depth"": 4, ""learning_rate"": 0.05}",V5,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,529,4.3,3.09,registry\predictor\gbm_t100d4_s2_bad29145ec63.joblib,bad29145ec63,0.539943,0.917028,0.538282,1.834057,0.7848,0.0152,,0.0,0.0,0.0,,1.0,0.808456,1.447708,0.759293,2.895416,0.7663,0.0337,,0.0,0.0,0.0,,0.9179,1.223381,2.194832,1.074625,4.389664,0.7456,0.0544,,0.0,0.0,0.0,,0.9049,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_63a3470f5592,S04,2026-05-09T11:08:06.029148,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,2040,33.2,6.53,registry\predictor\gbm_t300d5_s0_63a3470f5592.joblib,63a3470f5592,0.521719,0.916998,0.508832,1.833995,0.7853,0.0147,,0.0,0.0,0.0,,1.0,0.772348,1.445871,0.707516,2.891742,0.7697,0.0303,,0.0,0.0,0.0,,1.0,1.168341,2.179775,1.022152,4.359549,0.7527,0.0473,0.8824,17.0,0.0002,84.2342,0.8824,0.8283,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_7537ee27fee0,S04,2026-05-09T11:08:44.409565,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,2040,33.0,6.47,registry\predictor\gbm_t300d5_s1_7537ee27fee0.joblib,7537ee27fee0,0.521719,0.916998,0.508832,1.833995,0.7853,0.0147,,0.0,0.0,0.0,,1.0,0.772348,1.445871,0.707516,2.891742,0.7697,0.0303,,0.0,0.0,0.0,,1.0,1.168341,2.179775,1.022152,4.359549,0.7527,0.0473,0.8824,17.0,0.0002,84.2342,0.8824,0.8283,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_09651acf1997,S04,2026-05-09T11:09:23.626587,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,2040,33.9,6.02,registry\predictor\gbm_t300d5_s2_09651acf1997.joblib,09651acf1997,0.521719,0.916998,0.508832,1.833995,0.7853,0.0147,,0.0,0.0,0.0,,1.0,0.772348,1.445871,0.707516,2.891742,0.7697,0.0303,,0.0,0.0,0.0,,1.0,1.168341,2.179775,1.022152,4.359549,0.7527,0.0473,0.8824,17.0,0.0002,84.2342,0.8824,0.8283,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_6d618f84ed89,S04,2026-05-09T11:09:59.865790,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,1616,31.0,5.74,registry\predictor\gbm_t300d5_s0_6d618f84ed89.joblib,6d618f84ed89,0.515034,0.91699,0.507688,1.833981,0.7893,0.0107,,0.0,0.0,0.0,,1.0,0.770589,1.447517,0.70941,2.895033,0.7726,0.0274,,0.0,0.0,0.0,,1.0,1.177606,2.190346,1.010233,4.380691,0.7596,0.0404,,0.0,0.0,0.0,,0.922,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_904fa1cc7ae6,S04,2026-05-09T11:10:36.278144,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,1616,31.2,5.68,registry\predictor\gbm_t300d5_s1_904fa1cc7ae6.joblib,904fa1cc7ae6,0.515034,0.91699,0.507688,1.833981,0.7893,0.0107,,0.0,0.0,0.0,,1.0,0.770589,1.447517,0.70941,2.895033,0.7726,0.0274,,0.0,0.0,0.0,,1.0,1.177606,2.190346,1.010233,4.380691,0.7596,0.0404,,0.0,0.0,0.0,,0.922,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_2fddbd4bb00a,S04,2026-05-09T11:11:12.855765,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,1616,31.3,5.63,registry\predictor\gbm_t300d5_s2_2fddbd4bb00a.joblib,2fddbd4bb00a,0.515034,0.91699,0.507688,1.833981,0.7893,0.0107,,0.0,0.0,0.0,,1.0,0.770589,1.447517,0.70941,2.895033,0.7726,0.0274,,0.0,0.0,0.0,,1.0,1.177606,2.190346,1.010233,4.380691,0.7596,0.0404,,0.0,0.0,0.0,,0.922,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_3ccc4fe8b187,S04,2026-05-09T11:11:48.734130,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,1385,30.6,5.22,registry\predictor\gbm_t300d5_s0_3ccc4fe8b187.joblib,3ccc4fe8b187,0.520307,0.91699,0.510295,1.833981,0.7889,0.0111,,0.0,0.0,0.0,,1.0,0.77738,1.447517,0.710905,2.895033,0.7732,0.0268,,0.0,0.0,0.0,,1.0,1.170406,2.189531,1.021309,4.379062,0.7535,0.0465,,0.0,0.0,0.0,,0.8863,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_32ab371b2991,S04,2026-05-09T11:12:24.787879,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,1385,30.7,5.89,registry\predictor\gbm_t300d5_s1_32ab371b2991.joblib,32ab371b2991,0.520307,0.91699,0.510295,1.833981,0.7889,0.0111,,0.0,0.0,0.0,,1.0,0.77738,1.447517,0.710905,2.895033,0.7732,0.0268,,0.0,0.0,0.0,,1.0,1.170406,2.189531,1.021309,4.379062,0.7535,0.0465,,0.0,0.0,0.0,,0.8863,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_0dcfbc55299c,S04,2026-05-09T11:13:00.762303,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,1385,30.7,6.26,registry\predictor\gbm_t300d5_s2_0dcfbc55299c.joblib,0dcfbc55299c,0.520307,0.91699,0.510295,1.833981,0.7889,0.0111,,0.0,0.0,0.0,,1.0,0.77738,1.447517,0.710905,2.895033,0.7732,0.0268,,0.0,0.0,0.0,,1.0,1.170406,2.189531,1.021309,4.379062,0.7535,0.0465,,0.0,0.0,0.0,,0.8863,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_6e02fee277e0,S04,2026-05-09T11:13:10.857357,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,832,5.5,3.91,registry\predictor\gbm_t300d5_s0_6e02fee277e0.joblib,6e02fee277e0,0.531876,0.917085,0.52842,1.834169,0.7734,0.0266,,0.0,0.0,0.0,,1.0,0.804077,1.447631,0.760379,2.895262,0.7667,0.0333,,0.0,0.0,0.0,,0.917,1.221485,2.194712,1.070426,4.389424,0.746,0.054,,0.0,0.0,0.0,,0.8817,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_ee53a727dbf4,S04,2026-05-09T11:13:20.853906,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,832,5.4,4.09,registry\predictor\gbm_t300d5_s1_ee53a727dbf4.joblib,ee53a727dbf4,0.531876,0.917085,0.52842,1.834169,0.7734,0.0266,,0.0,0.0,0.0,,1.0,0.804077,1.447631,0.760379,2.895262,0.7667,0.0333,,0.0,0.0,0.0,,0.917,1.221485,2.194712,1.070426,4.389424,0.746,0.054,,0.0,0.0,0.0,,0.8817,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_5a849e5da223,S04,2026-05-09T11:13:30.890844,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,832,5.4,4.98,registry\predictor\gbm_t300d5_s2_5a849e5da223.joblib,5a849e5da223,0.531876,0.917085,0.52842,1.834169,0.7734,0.0266,,0.0,0.0,0.0,,1.0,0.804077,1.447631,0.760379,2.895262,0.7667,0.0333,,0.0,0.0,0.0,,0.917,1.221485,2.194712,1.070426,4.389424,0.746,0.054,,0.0,0.0,0.0,,0.8817,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_0d1f20a7276c,S04,2026-05-09T11:14:09.193358,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,1360,33.0,5.6,registry\predictor\gbm_t300d5_s0_0d1f20a7276c.joblib,0d1f20a7276c,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_11a60de45b60,S04,2026-05-09T11:14:47.683123,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,1360,33.1,5.33,registry\predictor\gbm_t300d5_s1_11a60de45b60.joblib,11a60de45b60,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s2_05312f2400d9,S04,2026-05-09T11:15:26.145824,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,1360,33.0,4.88,registry\predictor\gbm_t300d5_s2_05312f2400d9.joblib,05312f2400d9,0.515196,0.916993,0.506274,1.833985,0.7883,0.0117,,0.0,0.0,0.0,,1.0,0.777534,1.447457,0.715326,2.894914,0.7683,0.0317,0.5,2.0,0.0,3.4103,0.5,1.0,1.170668,2.194731,1.052169,4.389462,0.7523,0.0477,,0.0,0.0,0.0,,0.927,,,,,,,,,,,,,,,,,,
gbm_t300d5_s0_9c8ff0390aa1,S04,2026-05-09T11:15:36.095333,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,767,5.3,3.64,registry\predictor\gbm_t300d5_s0_9c8ff0390aa1.joblib,9c8ff0390aa1,0.536585,0.917052,0.522689,1.834104,0.7739,0.0261,,0.0,0.0,0.0,,1.0,0.810301,1.447738,0.766053,2.895475,0.7625,0.0375,,0.0,0.0,0.0,,1.0,1.231052,2.194118,1.075873,4.388236,0.7389,0.0611,,0.0,0.0,0.0,,0.8654,,,,,,,,,,,,,,,,,,
gbm_t300d5_s1_df8b2c39789f,S04,2026-05-09T11:15:46.068305,gbm,t300d5,"{""n_trees"": 300, ""max_depth"": 5, ""learning_rate"": 0.05}",V4,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,767,5.4,4.32,registry\predictor\gbm_t300d5_s1_df8b2c39789f.joblib,df8b2c39789f,0.536585,0.917052,0.522689,1.834104,0.7739,0.0261,,0.0,0.0,0.0,,1.0,0.810301,1.447738,0.766053,2.895475,0.7625,0.0375,,0.0,0.0,0.0,,1.0,1.231052,2.194118,1.075873,4.388236,0.7389,0.0611,,0.0,0.0,0.0,,0.8654,,,,,,,,,,,,,,,,,,
